Epoch,Error,Time
19600,118.4464059964825,00:00:27.037
19700,118.44029386061226,00:00:27.133
19800,118.43423905397356,00:00:27.232
19900,118.42824040097675,00:00:27.330
20000,118.42229674589238,00:00:27.423
20100,118.4164069526463,00:00:27.518
20200,118.41056990461536,00:00:27.610
20300,118.40478450444543,00:00:27.702
20400,118.39904967386487,00:00:27.796
20500,118.39336435352202,00:00:27.890
20600,118.38772750282875,00:00:27.983
20700,118.38213809980574,00:00:28.076
20800,118.37659514094797,00:00:28.168
20900,118.37109764108504,00:00:28.261
21000,118.3656446332597,00:00:28.354
21100,118.3602351686048,00:00:28.446
21200,118.35486831622971,00:00:28.537
21300,118.34954316310794,00:00:28.628
21400,118.34425881397692,00:00:28.719
21500,118.33901439122629,00:00:28.813
21600,118.3338090348129,00:00:28.904
21700,118.3286419021467,00:00:28.995
21800,118.32351216801354,00:00:29.086
21900,118.3184190244696,00:00:29.180
22000,118.31336168074832,00:00:29.274
22100,118.3083393631777,00:00:29.366
22200,118.3033513150743,00:00:29.457
22300,118.29839679665557,00:00:29.548
22400,118.29347508494394,00:00:29.641
22500,118.28858547366839,00:00:29.734
22600,118.28372727315985,00:00:29.825
22700,118.27889981025558,00:00:29.915
22800,118.2741024281891,00:00:30.008
22900,118.26933448647686,00:00:30.099
23000,118.26459536081043,00:00:30.194
23100,118.25988444293387,00:00:30.288
23200,118.25520114052479,00:00:30.380
23300,118.2505448770615,00:00:30.473
23400,118.24591509169306,00:00:30.566
23500,118.24131123909928,00:00:30.657
23600,118.2367327893505,00:00:30.748
23700,118.23217922775,00:00:30.839
23800,118.22765005468571,00:00:30.929
23900,118.22314478546186,00:00:31.021
24000,118.2186629501338,00:00:31.114
24100,118.21420409333143,00:00:31.204
24200,118.20976777407844,00:00:31.297
24300,118.20535356560667,00:00:31.387
24400,118.20096105515704,00:00:31.477
24500,118.19658984377865,00:00:31.569
24600,118.19223954612949,00:00:31.661
24700,118.187909790253,00:00:31.752
24800,118.18360021736392,00:00:31.842
24900,118.17931048161724,00:00:31.932
25000,118.17504024988354,00:00:32.023
25100,118.17078920150469,00:00:32.114
25200,118.1665570280493,00:00:32.202
25300,118.16234343306691,00:00:32.297
25400,118.15814813183532,00:00:32.388
25500,118.15397085109338,00:00:32.480
25600,118.14981132877988,00:00:32.578
25700,118.14566931376902,00:00:32.671
25800,118.14154456559145,00:00:32.763
25900,118.13743685415406,00:00:32.856
26000,118.13334595947072,00:00:32.947
26100,118.12927167136448,00:00:33.039
26200,118.12521378918981,00:00:33.131
26300,118.12117212153552,00:00:33.224
26400,118.11714648593912,00:00:33.318
26500,118.11313670859163,00:00:33.410
26600,118.10914262403497,00:00:33.502
26700,118.10516407487239,00:00:33.595
26800,118.101200911473,00:00:33.691
26900,118.0972529916656,00:00:33.790
27000,118.09332018044827,00:00:33.883
27100,118.08940234968932,00:00:33.975
27200,118.0854993778286,00:00:34.067
27300,118.08161114958644,00:00:34.160
27400,118.07773755566487,00:00:34.256
27500,118.07387849246415,00:00:34.353
27600,118.07003386178857,00:00:34.470
27700,118.0662035705596,00:00:34.569
27800,118.06238753053633,00:00:34.662
27900,118.05858565803598,00:00:34.754
28000,118.0547978736611,00:00:34.847
28100,118.05102410201653,00:00:34.940
28200,118.04726427146015,00:00:35.031
28300,118.0435183138309,00:00:35.124
28400,118.03978616419258,00:00:35.214
28500,118.03606776059294,00:00:35.306
28600,118.03236304380654,00:00:35.412
28700,118.02867195710421,00:00:35.518
28800,118.02499444601742,00:00:35.610
28900,118.02133045811928,00:00:35.701
29000,118.01767994279678,00:00:35.792
29100,118.0140428510473,00:00:35.884
29200,118.0104191352666,00:00:35.975
29300,118.00680874906304,00:00:36.064
29400,118.00321164706368,00:00:36.155
29500,117.9996277847235,00:00:36.243
29600,117.99605711817135,00:00:36.341
29700,117.99249960402895,00:00:36.449
29800,117.98895519926171,00:00:36.547
29900,117.98542386102862,00:00:36.637
30000,117.98190554654278,00:00:36.728
30100,117.97840021293563,00:00:36.835
30200,117.97490781713806,00:00:36.956
30300,117.97142831576086,00:00:37.054
30400,117.9679616649946,00:00:37.145
30500,117.96450782049823,00:00:37.237
30600,117.96106673732749,00:00:37.329
30700,117.95763836983599,00:00:37.441
30800,117.95422267161024,00:00:37.540
30900,117.9508195954005,00:00:37.632
31000,117.94742909306606,00:00:37.721
31100,117.94405111552672,00:00:37.855
31200,117.94068561271136,00:00:37.968
31300,117.93733253353766,00:00:38.061
31400,117.9339918258759,00:00:38.152
31500,117.93066343653281,00:00:38.244
31600,117.92734731123659,00:00:38.354
31700,117.9240433946345,00:00:38.456
31800,117.92075163029388,00:00:38.547
31900,117.91747196071019,00:00:38.640
32000,117.91420432731954,00:00:38.804
32100,117.91094867052267,00:00:38.910
32200,117.9077049297079,00:00:39.001
32300,117.90447304328521,00:00:39.092
32400,117.90125294872402,00:00:39.183
32500,117.89804458259633,00:00:39.278
32600,117.89484788061884,00:00:39.372
32700,117.89166277771692,00:00:39.464
32800,117.88848920806686,00:00:39.553
32900,117.88532710517038,00:00:39.642
33000,117.88217640190987,00:00:39.735
33100,117.87903703061944,00:00:39.826
33200,117.87590892315718,00:00:39.916
33300,117.87279201097972,00:00:40.018
33400,117.86968622521779,00:00:40.115
33500,117.86659149675869,00:00:40.206
33600,117.86350775632607,00:00:40.326
33700,117.86043493456226,00:00:40.448
33800,117.85737296211789,00:00:40.568
33900,117.85432176973428,00:00:40.687
34000,117.85128128833524,00:00:40.807
34100,117.84825144911117,00:00:40.929
34200,117.84523218361,00:00:41.051
34300,117.8422234238308,00:00:41.172
34400,117.83922510230367,00:00:41.311
34500,117.83623715218815,00:00:41.449
34600,117.83325950735427,00:00:41.585
34700,117.83029210247808,00:00:41.721
34800,117.82733487311957,00:00:41.860
34900,117.82438775581358,00:00:41.993
35000,117.8214506881559,00:00:42.127
35100,117.81852360888104,00:00:42.262
35200,117.8156064579405,00:00:42.396
35300,117.8126991765904,00:00:42.532
35400,117.80980170746051,00:00:42.666
35500,117.80691399462907,00:00:42.799
35600,117.8040359836948,00:00:42.934
35700,117.80116762184787,00:00:43.069
35800,117.79830885792795,00:00:43.201
35900,117.79545964249417,00:00:43.346
36000,117.79261992787781,00:00:43.496
36100,117.78978966824788,00:00:43.641
36200,117.78696881964736,00:00:43.788
36300,117.78415734005964,00:00:43.940
36400,117.78135518944158,00:00:44.078
36500,117.7785623297681,00:00:44.211
36600,117.77577872506912,00:00:44.349
36700,117.77300434146778,00:00:44.483
36800,117.77023914720293,00:00:44.617
36900,117.76748311266215,00:00:44.756
37000,117.76473621039452,00:00:44.894
37100,117.76199841513585,00:00:45.027
37200,117.75926970382079,00:00:45.162
37300,117.75655005558981,00:00:45.300
37400,117.75383945179922,00:00:45.435
37500,117.7511378760168,00:00:45.569
37600,117.7484453140277,00:00:45.701
37700,117.74576175381662,00:00:45.834
37800,117.74308718557141,00:00:45.973
37900,117.74042160165834,00:00:46.110
38000,117.73776499660931,00:00:46.245
38100,117.73511736709862,00:00:46.381
38200,117.73247871192329,00:00:46.518
38300,117.72984903196175,00:00:46.653
38400,117.72722833016032,00:00:46.786
38500,117.72461661148091,00:00:46.923
38600,117.72201388287465,00:00:47.058
38700,117.7194201532324,00:00:47.190
38800,117.71683543334437,00:00:47.324
38900,117.71425973585337,00:00:47.463
39000,117.71169307520329,00:00:47.596
39100,117.70913546758729,00:00:47.729
39200,117.70658693089179,00:00:47.864
39300,117.70404748463724,00:00:47.999
39400,117.70151714992575,00:00:48.133
39500,117.69899594936935,00:00:48.269
39600,117.69648390703696,00:00:48.406
39700,117.69398104838216,00:00:48.541
39800,117.69148740018156,00:00:48.674
39900,117.68900299045771,00:00:48.808
40000,117.68652784842236,00:00:48.942
40100,117.68406200439458,00:00:49.076
40200,117.68160548973536,00:00:49.210
40300,117.67915833677839,00:00:49.345
40400,117.67672057874405,00:00:49.480
40500,117.67429224968024,00:00:49.614
40600,117.67187338438124,00:00:49.747
40700,117.66946401831223,00:00:49.881
40800,117.66706418754119,00:00:50.014
40900,117.66467392865435,00:00:50.150
41000,117.66229327869299,00:00:50.286
41100,117.65992227507431,00:00:50.425
41200,117.65756095551555,00:00:50.558
41300,117.65520935796314,00:00:50.688
41400,117.652867520522,00:00:50.821
41500,117.6505354813813,00:00:50.955
41600,117.64821327874512,00:00:51.090
41700,117.64590095076183,00:00:51.225
41800,117.6435985354539,00:00:51.359
41900,117.64130607065218,00:00:51.492
42000,117.63902359392983,00:00:51.624
42100,117.6367511425366,00:00:51.757
42200,117.63448875333226,00:00:51.889
42300,117.63223646272886,00:00:52.024
42400,117.62999430662946,00:00:52.158
42500,117.62776232036536,00:00:52.298
42600,117.62554053863913,00:00:52.485
42700,117.62332899547864,00:00:52.621
42800,117.62112772416882,00:00:52.754
42900,117.61893675720904,00:00:52.888
43000,117.61675612626071,00:00:53.022
43100,117.61458586210031,00:00:53.156
43200,117.61242599456759,00:00:53.288
43300,117.61027655253285,00:00:53.425
43400,117.60813756384314,00:00:53.564
43500,117.60600905528595,00:00:53.700
43600,117.60389105255575,00:00:53.836
43700,117.60178358021014,00:00:53.973
43800,117.59968666164416,00:00:54.106
43900,117.59760031904936,00:00:54.238
44000,117.59552457339083,00:00:54.373
44100,117.59345944437744,00:00:54.506
44200,117.59140495043748,00:00:54.640
44300,117.58936110868845,00:00:54.771
44400,117.58732793492288,00:00:54.906
44500,117.5853054435878,00:00:55.040
44600,117.58329364776071,00:00:55.175
44700,117.58129255913984,00:00:55.311
44800,117.57930218803172,00:00:55.445
44900,117.57732254333102,00:00:55.580
45000,117.57535363251723,00:00:55.713
45100,117.57339546164513,00:00:55.853
45200,117.57144803533846,00:00:55.994
45300,117.56951135677978,00:00:56.129
45400,117.56758542771827,00:00:56.263
45500,117.56567024845727,00:00:56.400
45600,117.56376581786176,00:00:56.536
45700,117.56187213335717,00:00:56.670
45800,117.55998919092836,00:00:56.803
45900,117.55811698513813,00:00:56.938
46000,117.55625550911714,00:00:57.075
46100,117.55440475458455,00:00:57.210
46200,117.55256471184451,00:00:57.345
46300,117.5507353698095,00:00:57.481
46400,117.54891671600234,00:00:57.615
46500,117.54710873657255,00:00:57.748
46600,117.54531141631122,00:00:57.880
46700,117.54352473865791,00:00:58.014
46800,117.54174868573337,00:00:58.148
46900,117.53998323833709,00:00:58.280
47000,117.53822837597521,00:00:58.416
47100,117.53648407687898,00:00:58.548
47200,117.53475031802346,00:00:58.682
47300,117.53302707514764,00:00:58.814
47400,117.53131432277058,00:00:58.947
47500,117.52961203421894,00:00:59.085
47600,117.52792018165064,00:00:59.219
47700,117.5262387360707,00:00:59.356
47800,117.52456766735769,00:00:59.494
47900,117.52290694429084,00:00:59.628
48000,117.52125653456861,00:00:59.761
48100,117.51961640483837,00:00:59.894
48200,117.5179865207145,00:01:00.027
48300,117.51636684681121,00:01:00.159
48400,117.5147573467646,00:01:00.298
48500,117.51315798325773,00:01:00.439
48600,117.51156871804461,00:01:00.578
48700,117.50998951198156,00:01:00.711
48800,117.50842032504953,00:01:00.844
48900,117.50686111638059,00:01:00.978
49000,117.50531184428421,00:01:01.114
49100,117.5037724662725,00:01:01.249
49200,117.50224293909285,00:01:01.389
49300,117.50072321874116,00:01:01.524
49400,117.49921326049983,00:01:01.659
49500,117.49771301895998,00:01:01.794
49600,117.49622244804324,00:01:01.930
49700,117.49474150103426,00:01:02.064
49800,117.49327013059478,00:01:02.198
49900,117.49180828880668,00:01:02.331
50000,117.49035592718027,00:01:02.469
50100,117.48891299668536,00:01:02.604
50200,117.48747944777377,00:01:02.737
50300,117.48605523041172,00:01:02.869
50400,117.48464029409007,00:01:03.003
50500,117.48323458786088,00:01:03.137
50600,117.4818380603481,00:01:03.270
50700,117.48045065978256,00:01:03.413
50800,117.47907233401257,00:01:03.547
50900,117.47770303053734,00:01:03.683
51000,117.47634269652184,00:01:03.816
51100,117.4749912788165,00:01:03.950
51200,117.4736487239844,00:01:04.083
51300,117.47231497831748,00:01:04.218
51400,117.47098998785884,00:01:04.368
51500,117.46967369841823,00:01:04.517
51600,117.4683660555965,00:01:04.657
51700,117.46706700480027,00:01:04.791
51800,117.46577649126725,00:01:04.927
51900,117.46449446007159,00:01:05.059
52000,117.46322085615421,00:01:05.193
52100,117.46195562433351,00:01:05.331
52200,117.46069870932327,00:01:05.466
52300,117.45945005574936,00:01:05.600
52400,117.45820960816272,00:01:05.734
52500,117.4569773110609,00:01:05.865
52600,117.45575310889602,00:01:05.997
52700,117.45453694609668,00:01:06.131
52800,117.45332876707155,00:01:06.264
52900,117.45212851623803,00:01:06.400
53000,117.45093613802139,00:01:06.533
53100,117.4497515768732,00:01:06.668
53200,117.44857477728783,00:01:06.802
53300,117.44740568381117,00:01:06.934
53400,117.4462442410478,00:01:07.068
53500,117.445090393681,00:01:07.208
53600,117.44394408647666,00:01:07.346
53700,117.44280526430084,00:01:07.482
53800,117.44167387212282,00:01:07.616
53900,117.4405498550303,00:01:07.750
54000,117.43943315823186,00:01:07.884
54100,117.43832372708336,00:01:08.018
54200,117.43722150707181,00:01:08.154
54300,117.43612644384376,00:01:08.288
54400,117.43503848320461,00:01:08.423
54500,117.43395757113221,00:01:08.557
54600,117.4328836537755,00:01:08.691
54700,117.43181667747415,00:01:08.823
54800,117.4307565887541,00:01:08.964
54900,117.42970333434049,00:01:09.100
55000,117.42865686116453,00:01:09.235
55100,117.42761711636471,00:01:09.369
55200,117.42658404729909,00:01:09.504
55300,117.42555760154879,00:01:09.642
55400,117.42453772691967,00:01:09.779
55500,117.42352437145345,00:01:09.914
55600,117.42251748342642,00:01:10.061
55700,117.42151701136278,00:01:10.186
55800,117.42052290403063,00:01:10.330
55900,117.41953511045104,00:01:10.459
56000,117.41855357989996,00:01:10.581
56100,117.41757826191363,00:01:10.705
56200,117.41660910629182,00:01:10.846
56300,117.41564606310244,00:01:10.977
56400,117.41468908268185,00:01:11.097
